
Benchmark started on 1/2/2017 16:18:17
Delta	Instant FPS	10-sec avg. FPS	Total avg. FPS
6	166.667	125.86	125.79
12	83.3333	125.714	125.86
14	71.4286	125.498	125.714
6	166.667	125.568	125.498
11	90.9091	125.46	125.568
18	55.5556	125.106	125.46
6	166.667	125.176	125.106
17	58.8235	124.86	125.176
6	166.667	124.93	124.86
4	250	125.07	124.93
5	200	125.174	125.07
7	142.857	125.209	125.174
5	200	125.313	125.209
5	200	125.416	125.313
11	90.9091	125.311	125.416
7	142.857	125.345	125.311
10	100	125.275	125.345
5	200	125.378	125.275
11	90.9091	125.274	125.378
5	200	125.376	125.274
12	83.3333	125.239	125.376
5	200	125.341	125.239
11	90.9091	125.238	125.341
7	142.857	125.271	125.238
10	100	125.203	125.271
7	142.857	125.236	125.203
11	90.9091	125.135	125.236
7	142.857	125.168	125.135
5	200	125.268	125.168
4	250	125.402	125.268
5	200	125.502	125.402
6	166.667	125.568	125.502
5	200	125.667	125.568
4	250	125.8	125.667
6	166.667	125.865	125.8
5	200	125.963	125.865
5	200	126.062	125.963
5	200	126.16	126.062
6	166.667	126.224	126.16
5	200	126.321	126.224
6	166.667	126.385	126.321
15	66.6667	126.15	126.385
6	166.667	126.214	126.15
8	125	126.211	126.214
6	166.667	126.275	126.211
11	90.9091	126.173	126.275
6	166.667	126.236	126.173
5	200	126.332	126.236
5	200	126.428	126.332
16	62.5	126.163	126.428
6	166.667	126.226	126.163
8	125	126.224	126.226
5	200	126.318	126.224
12	83.3333	126.186	126.318
6	166.667	126.248	126.186
10	100	126.181	126.248
6	166.667	126.243	126.181
11	90.9091	126.144	126.243
6	166.667	126.206	126.144
11	90.9091	126.108	126.206
6	166.667	126.169	126.108
11	90.9091	126.072	126.169
7	142.857	126.101	126.072
5	200	126.194	126.101
5	200	126.287	126.194
5	200	126.379	126.287
5	200	126.471	126.379
5	200	126.563	126.471
18	55.5556	126.245	126.563
5	200	126.337	126.245
11	90.9091	126.24	126.337
16	62.5	125.988	126.24
7	142.857	126.017	125.988
11	90.9091	125.922	126.017
7	142.857	125.951	125.922
7	142.857	125.98	125.951
7	142.857	126.009	125.98
4	250	126.131	126.009
5	200	126.221	126.131
4	250	126.341	126.221
16	62.5	126.093	126.341
6	166.667	126.152	126.093
6	166.667	126.211	126.152
7	142.857	126.239	126.211
8	125	126.237	126.239
5	200	126.326	126.237
5	200	126.415	126.326
7	142.857	126.442	126.415
5	200	126.531	126.442
5	200	126.619	126.531
4	250	126.737	126.619
5	200	126.825	126.737
5	200	126.912	126.825
6	166.667	126.969	126.912
5	200	127.056	126.969
5	200	127.143	127.056
5	200	127.229	127.143
5	200	127.316	127.229
5	200	127.402	127.316
6	166.667	127.458	127.402
5	200	127.544	127.458
5	200	127.629	127.544
5	200	127.715	127.629
6	166.667	127.77	127.715
5	200	127.855	127.77
5	200	127.94	127.855
6	166.667	127.994	127.94
6	166.667	128.049	127.994
6	166.667	128.103	128.049
5	200	128.187	128.103
8	125	128.181	128.187
4	250	128.295	128.181
6	166.667	128.348	128.295
12	83.3333	128.223	128.348
6	166.667	128.277	128.223
8	125	128.27	128.277
5	200	128.353	128.27
16	62.5	128.111	128.353
9	111.111	128.075	128.111
5	200	128.158	128.075
11	90.9091	128.064	128.158
7	142.857	128.088	128.064
10	100	128.024	128.088
6	166.667	128.077	128.024
11	90.9091	127.984	128.077
6	166.667	128.036	127.984
10	100	127.973	128.036
5	200	128.054	127.973
11	90.9091	127.962	128.054
6	166.667	128.014	127.962
11	90.9091	127.923	128.014
6	166.667	127.975	127.923
12	83.3333	127.855	127.975
5	200	127.936	127.855
5	200	128.016	127.936
5	200	128.096	128.016
5	200	128.177	128.096
5	200	128.257	128.177
4	250	128.365	128.257
10	100	128.302	128.365
6	166.667	128.353	128.302
12	83.3333	128.233	128.353
5	200	128.313	128.233
9	111.111	128.279	128.313
7	142.857	128.301	128.279
11	90.9091	128.211	128.301
6	166.667	128.261	128.211
5	200	128.34	128.261
5	200	128.418	128.34
5	200	128.496	128.418
5	200	128.575	128.496
6	166.667	128.624	128.575
11	90.9091	128.534	128.624
6	166.667	128.584	128.534
12	83.3333	128.466	128.584
6	166.667	128.516	128.466
10	100	128.454	128.516
7	142.857	128.476	128.454
12	83.3333	128.359	128.476
15	66.6667	128.161	128.359
6	166.667	128.211	128.161
12	83.3333	128.096	128.211
6	166.667	128.145	128.096
5	200	128.222	128.145
5	200	128.298	128.222
5	200	128.374	128.298
5	200	128.45	128.374
7	142.857	128.471	128.45
5	200	128.547	128.471
6	166.667	128.596	128.547
5	200	128.671	128.596
6	166.667	128.719	128.671
5	200	128.794	128.719
10	100	128.734	128.794
6	166.667	128.782	128.734
12	83.3333	128.667	128.782
10	100	128.607	128.667
7	142.857	128.628	128.607
12	83.3333	128.515	128.628
6	166.667	128.563	128.515
8	125	128.557	128.563
5	200	128.631	128.557
16	62.5	128.412	128.631
12	83.3333	128.3	128.412
6	166.667	128.348	128.3
12	83.3333	128.237	128.348
6	166.667	128.284	128.237
5	200	128.358	128.284
6	166.667	128.405	128.358
5	200	128.478	128.405
5	200	128.551	128.478
5	200	128.624	128.551
6	166.667	128.67	128.624
5	200	128.743	128.67
17	58.8235	128.502	128.743
6	166.667	128.548	128.502
6	166.667	128.595	128.548
5	200	128.667	128.595
16	62.5	128.453	128.667
9	111.111	128.422	128.453
5	200	128.494	128.422
5	200	128.566	128.494
11	90.9091	128.483	128.566
13	76.9231	128.349	128.483
7	142.857	128.369	128.349
6	166.667	128.415	128.369
9	111.111	128.384	128.415
8	125	128.378	128.384
7	142.857	128.398	128.378
11	90.9091	128.317	128.398
5	200	128.388	128.317
11	90.9091	128.306	128.388
5	200	128.377	128.306
12	83.3333	128.271	128.377
6	166.667	128.316	128.271
10	100	128.26	128.316
5	200	128.331	128.26
11	90.9091	128.25	128.331
7	142.857	128.27	128.25
10	100	128.215	128.27
6	166.667	128.26	128.215
11	90.9091	128.18	128.26
6	166.667	128.225	128.18
5	200	128.295	128.225
5	200	128.364	128.295
6	166.667	128.408	128.364
5	200	128.478	128.408
6	166.667	128.522	128.478
8	125	128.516	128.522
6	166.667	128.56	128.516
11	90.9091	128.481	128.56
6	166.667	128.525	128.481
8	125	128.519	128.525
5	200	128.588	128.519
16	62.5	128.386	128.588
6	166.667	128.43	128.386
6	166.667	128.474	128.43
5	200	128.542	128.474
19	52.6316	128.268	128.542
5	200	128.336	128.268
5	200	128.404	128.336
5	200	128.472	128.404
5	200	128.539	128.472
5	200	128.606	128.539
4	250	128.698	128.606
7	142.857	128.717	128.698
6	166.667	128.759	128.717
16	62.5	128.561	128.759
6	166.667	128.604	128.561
6	166.667	128.646	128.604
5	200	128.713	128.646
5	200	128.779	128.713
5	200	128.846	128.779
6	166.667	128.888	128.846
13	76.9231	128.763	128.888
6	166.667	128.805	128.763
11	90.9091	128.728	128.805
7	142.857	128.746	128.728
5	200	128.812	128.746
16	62.5	128.616	128.812
6	166.667	128.658	128.616
6	166.667	128.7	128.658
5	200	128.766	128.7
16	62.5	128.571	128.766
7	142.857	128.59	128.571
5	200	128.655	128.59
6	166.667	128.697	128.655
15	66.6667	128.527	128.697
14	71.4286	128.382	128.527
6	166.667	128.424	128.382
12	83.3333	128.326	128.424
7	142.857	128.344	128.326
5	200	128.409	128.344
11	90.9091	128.335	128.409
5	200	128.399	128.335
6	166.667	128.44	128.399
5	200	128.505	128.44
5	200	128.569	128.505
17	58.8235	128.357	128.569
5	200	128.421	128.357
5	200	128.485	128.421
5	200	128.548	128.485
6	166.667	128.589	128.548
5	200	128.653	128.589
5	200	128.716	128.653
5	200	128.78	128.716
5	200	128.843	128.78
15	66.6667	128.678	128.843
5	200	128.741	128.678
5	200	128.804	128.741
5	200	128.867	128.804
5	200	128.93	128.867
4	250	129.015	128.93
5	200	129.078	129.015
5	200	129.14	129.078
5	200	129.203	129.14
8	125	129.197	129.203
5	200	129.259	129.197
16	62.5	129.072	129.259
6	166.667	129.111	129.072
5	200	129.173	129.111
5	200	129.235	129.173
5	200	129.297	129.235
4	250	129.381	129.297
5	200	129.443	129.381
5	200	129.504	129.443
11	90.9091	129.43	129.504
5	200	129.491	129.43
17	58.8235	129.283	129.491
5	200	129.345	129.283
5	200	129.406	129.345
6	166.667	129.444	129.406
6	166.667	129.483	129.444
7	142.857	129.499	129.483
8	125	129.493	129.499
7	142.857	129.509	129.493
11	90.9091	129.436	129.509
5	200	129.496	129.436
9	111.111	129.468	129.496
5	200	129.528	129.468
15	66.6667	129.368	129.528
6	166.667	129.406	129.368
6	166.667	129.444	129.406
16	62.5	129.262	129.444
6	166.667	129.3	129.262
7	142.857	129.316	129.3
5	200	129.376	129.316
11	90.9091	129.305	129.376
6	166.667	129.342	129.305
12	83.3333	129.249	129.342
6	166.667	129.287	129.249
11	90.9091	129.216	129.287
16	62.5	129.038	129.216
6	166.667	129.075	129.038
14	71.4286	128.941	129.075
4	250	129.022	128.941
5	200	129.081	129.022
10	100	129.032	129.081
6	166.667	129.07	129.032
6	166.667	129.107	129.07
5	200	129.166	129.107
5	200	129.225	129.166
6	166.667	129.262	129.225
5	200	129.32	129.262
5	200	129.379	129.32
6	166.667	129.416	129.379
5	200	129.474	129.416
17	58.8235	129.276	129.474
8	125	129.271	129.276
4	250	129.35	129.271
6	166.667	129.387	129.35
11	90.9091	129.317	129.387
7	142.857	129.333	129.317
9	111.111	129.306	129.333
5	200	129.364	129.306
11	90.9091	129.295	129.364
6	166.667	129.331	129.295
12	83.3333	129.242	129.331
7	142.857	129.257	129.242
11	90.9091	129.189	129.257
15	66.6667	129.037	129.189
7	142.857	129.053	129.037
13	76.9231	128.944	129.053
5	200	129.001	128.944
5	200	129.058	129.001
11	90.9091	128.991	129.058
5	200	129.048	128.991
10	100	129.001	129.048
5	200	129.058	129.001
16	62.5	128.888	129.058
6	166.667	128.924	128.888
7	142.857	128.94	128.924
11	90.9091	128.873	128.94
5	200	128.93	128.873
8	125	128.925	128.93
6	166.667	128.961	128.925
5	200	129.017	128.961
11	90.9091	128.951	129.017
7	142.857	128.966	128.951
6	166.667	129.002	128.966
4	250	129.078	129.002
16	62.5	128.911	129.078
7	142.857	128.926	128.911
5	200	128.982	128.926
5	200	129.037	128.982
5	200	129.093	129.037
5	200	129.148	129.093
6	166.667	129.184	129.148
14	71.4286	129.057	129.184
6	166.667	129.093	129.057
16	62.5	128.927	129.093
12	83.3333	128.842	128.927
7	142.857	128.857	128.842
11	90.9091	128.793	128.857
6	166.667	128.828	128.793
5	200	128.883	128.828
5	200	128.938	128.883
6	166.667	128.973	128.938
5	200	129.027	128.973
7	142.857	129.042	129.027
6	166.667	129.077	129.042
7	142.857	129.092	129.077
6	166.667	129.126	129.092
5	200	129.181	129.126
7	142.857	129.195	129.181
6	166.667	129.23	129.195
5	200	129.284	129.23
6	166.667	129.318	129.284
6	166.667	129.352	129.318
5	200	129.406	129.352
5	200	129.46	129.406
6	166.667	129.494	129.46
12	83.3333	129.41	129.494
6	166.667	129.444	129.41
10	100	129.399	129.444
6	166.667	129.433	129.399
10	100	129.389	129.433
5	200	129.442	129.389
12	83.3333	129.358	129.442
5	200	129.412	129.358
15	66.6667	129.27	129.412
14	71.4286	129.149	129.27
5	200	129.202	129.149
14	71.4286	129.081	129.202
13	76.9231	128.979	129.081
5	200	129.032	128.979
14	71.4286	128.912	129.032
6	166.667	128.946	128.912
5	200	128.999	128.946
5	200	129.051	128.999
5	200	129.104	129.051
4	250	129.176	129.104
6	166.667	129.209	129.176
6	166.667	129.243	129.209
5	200	129.295	129.243
14	71.4286	129.175	129.295
7	142.857	129.189	129.175
6	166.667	129.223	129.189
7	142.857	129.237	129.223
10	100	129.194	129.237
6	166.667	129.227	129.194
7	142.857	129.241	129.227
6	166.667	129.274	129.241
14	71.4286	129.155	129.274
5	200	129.207	129.155
8	125	129.202	129.207
5	200	129.254	129.202
17	58.8235	129.079	129.254
13	76.9231	128.981	129.079
7	142.857	128.995	128.981
11	90.9091	128.934	128.995
16	62.5	128.78	128.934
6	166.667	128.813	128.78
11	90.9091	128.753	128.813
15	66.6667	128.619	128.753
7	142.857	128.633	128.619
11	90.9091	128.573	128.633
5	200	128.625	128.573
5	200	128.676	128.625
5	200	128.727	128.676
5	200	128.778	128.727
5	200	128.829	128.778
7	142.857	128.843	128.829
5	200	128.894	128.843
16	62.5	128.743	128.894
6	166.667	128.775	128.743
8	125	128.771	128.775
7	142.857	128.785	128.771
11	90.9091	128.726	128.785
5	200	128.776	128.726
9	111.111	128.754	128.776
5	200	128.804	128.754
16	62.5	128.654	128.804
13	76.9231	128.559	128.654
6	166.667	128.592	128.559
11	90.9091	128.533	128.592
17	58.8235	128.367	128.533
5	200	128.417	128.367
12	83.3333	128.341	128.417
5	200	128.392	128.341
5	200	128.442	128.392
5	200	128.492	128.442
5	200	128.542	128.492
5	200	128.591	128.542
6	166.667	128.623	128.591
4	250	128.691	128.623
6	166.667	128.723	128.691
5	200	128.772	128.723
6	166.667	128.804	128.772
5	200	128.853	128.804
9	111.111	128.831	128.853
5	200	128.88	128.831
16	62.5	128.733	128.88
7	142.857	128.747	128.733
5	200	128.796	128.747
6	166.667	128.828	128.796
4	250	128.894	128.828
5	200	128.943	128.894
5	200	128.992	128.943
14	71.4286	128.882	128.992
7	142.857	128.895	128.882
12	83.3333	128.82	128.895
14	71.4286	128.71	128.82
6	166.667	128.741	128.71
12	83.3333	128.667	128.741
17	58.8235	128.505	128.667
5	200	128.554	128.505
16	62.5	128.41	128.554
6	166.667	128.442	128.41
4	250	128.508	128.442
6	166.667	128.539	128.508
5	200	128.587	128.539
5	200	128.635	128.587
6	166.667	128.666	128.635
16	62.5	128.523	128.666
5	200	128.571	128.523
8	125	128.568	128.571
5	200	128.616	128.568
16	62.5	128.474	128.616
8	125	128.47	128.474
5	200	128.518	128.47
5	200	128.566	128.518
5	200	128.613	128.566
5	200	128.661	128.613
5	200	128.709	128.661
5	200	128.757	128.709
5	200	128.804	128.757
6	166.667	128.834	128.804
5	200	128.882	128.834
5	200	128.929	128.882
6	166.667	128.959	128.929
5	200	129.007	128.959
5	200	129.054	129.007
6	166.667	129.084	129.054
6	166.667	129.114	129.084
5	200	129.161	129.114
6	166.667	129.19	129.161
15	66.6667	129.066	129.19
6	166.667	129.096	129.066
12	83.3333	129.024	129.096
16	62.5	128.884	129.024
5	200	128.93	128.884
16	62.5	128.791	128.93
6	166.667	128.821	128.791
5	200	128.867	128.821
5	200	128.914	128.867
5	200	128.96	128.914
5	200	129.007	128.96
5	200	129.053	129.007
5	200	129.1	129.053
5	200	129.146	129.1
5	200	129.192	129.146
6	166.667	129.222	129.192
7	142.857	129.234	129.222
5	200	129.28	129.234
5	200	129.326	129.28
6	166.667	129.355	129.326
6	166.667	129.384	129.355
6	166.667	129.413	129.384
8	125	129.409	129.413
5	200	129.454	129.409
17	58.8235	129.299	129.454
12	83.3333	129.228	129.299
6	166.667	129.257	129.228
16	62.5	129.119	129.257
11	90.9091	129.065	129.119
7	142.857	129.078	129.065
16	62.5	128.941	129.078
11	90.9091	128.888	128.941
7	142.857	128.9	128.888
12	83.3333	128.83	128.9
15	66.6667	128.712	128.83
6	166.667	128.741	128.712
16	62.5	128.606	128.741
5	200	128.651	128.606
6	166.667	128.68	128.651
5	200	128.725	128.68
5	200	128.771	128.725
5	200	128.816	128.771
6	166.667	128.844	128.816
5	200	128.889	128.844
5	200	128.934	128.889
6	166.667	128.963	128.934
6	166.667	128.992	128.963
6	166.667	129.02	128.992
6	166.667	129.049	129.02
16	62.5	128.915	129.049
7	142.857	128.927	128.915
5	200	128.971	128.927
6	166.667	129	128.971
5	200	129.044	129
6	166.667	129.073	129.044
6	166.667	129.101	129.073
11	90.9091	129.048	129.101
6	166.667	129.077	129.048
16	62.5	128.944	129.077
12	83.3333	128.876	128.944
6	166.667	128.904	128.876
11	90.9091	128.852	128.904
16	62.5	128.72	128.852
