
Benchmark started on 1/2/2017 11:57:54
Delta	Instant FPS	10-sec avg. FPS	Total avg. FPS
4	250	199.51	199.461
3	333.333	199.609	199.51
5	200	199.609	199.609
4	250	199.658	199.609
3	333.333	199.756	199.658
3	333.333	199.854	199.756
12	83.3333	199.514	199.854
4	250	199.563	199.514
13	76.9231	199.177	199.563
4	250	199.226	199.177
4	250	199.275	199.226
4	250	199.324	199.275
4	250	199.373	199.324
3	333.333	199.47	199.373
4	250	199.519	199.47
3	333.333	199.615	199.519
5	200	199.616	199.615
3	333.333	199.712	199.616
3	333.333	199.808	199.712
3	333.333	199.904	199.808
3	333.333	200	199.904
3	333.333	200.096	200
4	250	200.143	200.096
3	333.333	200.239	200.143
3	333.333	200.334	200.239
3	333.333	200.43	200.334
4	250	200.477	200.43
6	166.667	200.428	200.477
4	250	200.476	200.428
17	58.8235	199.905	200.476
5	200	199.905	199.905
4	250	199.953	199.905
3	333.333	200.047	199.953
14	71.4286	199.623	200.047
5	200	199.624	199.623
13	76.9231	199.25	199.624
4	250	199.297	199.25
19	52.6316	198.648	199.297
13	76.9231	198.28	198.648
4	250	198.328	198.28
13	76.9231	197.962	198.328
16	62.5	197.463	197.962
4	250	197.511	197.463
13	76.9231	197.151	197.511
5	200	197.154	197.151
14	71.4286	196.751	197.154
4	250	196.8	196.751
5	200	196.804	196.8
5	200	196.807	196.804
13	76.9231	196.453	196.807
19	52.6316	195.834	196.453
5	200	195.839	195.834
4	250	195.888	195.839
4	250	195.937	195.888
3	333.333	196.03	195.937
4	250	196.078	196.03
3	333.333	196.171	196.078
3	333.333	196.264	196.171
6	166.667	196.224	196.264
3	333.333	196.316	196.224
18	55.5556	195.749	196.316
5	200	195.754	195.749
11	90.9091	195.497	195.754
4	250	195.546	195.497
13	76.9231	195.203	195.546
4	250	195.252	195.203
14	71.4286	194.868	195.252
4	250	194.917	194.868
13	76.9231	194.579	194.917
15	66.6667	194.158	194.579
3	333.333	194.249	194.158
14	71.4286	193.873	194.249
5	200	193.88	193.873
5	200	193.886	193.88
3	333.333	193.978	193.886
18	55.5556	193.436	193.978
14	71.4286	193.066	193.436
5	200	193.074	193.066
14	71.4286	192.706	193.074
4	250	192.756	192.706
3	333.333	192.846	192.756
4	250	192.896	192.846
3	333.333	192.986	192.896
3	333.333	193.077	192.986
3	333.333	193.167	193.077
3	333.333	193.257	193.167
5	200	193.265	193.257
4	250	193.313	193.265
3	333.333	193.403	193.313
14	71.4286	193.039	193.403
4	250	193.087	193.039
4	250	193.136	193.087
5	200	193.143	193.136
3	333.333	193.233	193.143
3	333.333	193.322	193.233
3	333.333	193.411	193.322
5	200	193.418	193.411
4	250	193.466	193.418
4	250	193.514	193.466
3	333.333	193.603	193.514
4	250	193.651	193.603
8	125	193.535	193.651
3	333.333	193.623	193.535
18	55.5556	193.101	193.623
4	250	193.148	193.101
5	200	193.156	193.148
3	333.333	193.244	193.156
3	333.333	193.332	193.244
3	333.333	193.42	193.332
4	250	193.467	193.42
3	333.333	193.555	193.467
3	333.333	193.643	193.555
3	333.333	193.73	193.643
5	200	193.737	193.73
3	333.333	193.824	193.737
4	250	193.871	193.824
3	333.333	193.958	193.871
3	333.333	194.045	193.958
3	333.333	194.132	194.045
4	250	194.179	194.132
4	250	194.225	194.179
3	333.333	194.312	194.225
5	200	194.318	194.312
3	333.333	194.404	194.318
4	250	194.45	194.404
4	250	194.496	194.45
4	250	194.542	194.496
3	333.333	194.628	194.542
3	333.333	194.714	194.628
5	200	194.719	194.714
4	250	194.765	194.719
3	333.333	194.851	194.765
3	333.333	194.936	194.851
4	250	194.981	194.936
4	250	195.027	194.981
3	333.333	195.112	195.027
3	333.333	195.197	195.112
3	333.333	195.282	195.197
4	250	195.327	195.282
4	250	195.372	195.327
3	333.333	195.456	195.372
4	250	195.501	195.456
3	333.333	195.586	195.501
4	250	195.63	195.586
3	333.333	195.714	195.63
3	333.333	195.798	195.714
3	333.333	195.883	195.798
4	250	195.927	195.883
3	333.333	196.011	195.927
4	250	196.055	196.011
4	250	196.098	196.055
3	333.333	196.182	196.098
3	333.333	196.265	196.182
3	333.333	196.349	196.265
3	333.333	196.432	196.349
3	333.333	196.515	196.432
3	333.333	196.598	196.515
3	333.333	196.682	196.598
7	142.857	196.605	196.682
3	333.333	196.688	196.605
18	55.5556	196.177	196.688
3	333.333	196.26	196.177
10	100	196.067	196.26
3	333.333	196.149	196.067
18	55.5556	195.643	196.149
5	200	195.648	195.643
3	333.333	195.73	195.648
4	250	195.774	195.73
3	333.333	195.856	195.774
3	333.333	195.938	195.856
4	250	195.981	195.938
3	333.333	196.063	195.981
3	333.333	196.145	196.063
3	333.333	196.226	196.145
5	200	196.23	196.226
3	333.333	196.312	196.23
3	333.333	196.393	196.312
3	333.333	196.475	196.393
4	250	196.517	196.475
3	333.333	196.598	196.517
3	333.333	196.679	196.598
3	333.333	196.76	196.679
3	333.333	196.841	196.76
4	250	196.883	196.841
15	66.6667	196.499	196.883
3	333.333	196.58	196.499
18	55.5556	196.082	196.58
3	333.333	196.163	196.082
4	250	196.205	196.163
3	333.333	196.285	196.205
3	333.333	196.366	196.285
3	333.333	196.446	196.366
3	333.333	196.526	196.446
3	333.333	196.606	196.526
3	333.333	196.686	196.606
3	333.333	196.766	196.686
3	333.333	196.846	196.766
18	55.5556	196.352	196.846
3	333.333	196.432	196.352
4	250	196.474	196.432
7	142.857	196.401	196.474
3	333.333	196.48	196.401
18	55.5556	195.992	196.48
3	333.333	196.071	195.992
8	125	195.962	196.071
3	333.333	196.041	195.962
18	55.5556	195.556	196.041
3	333.333	195.636	195.556
3	333.333	195.715	195.636
4	250	195.756	195.715
3	333.333	195.835	195.756
2	500	195.951	195.835
3	333.333	196.03	195.951
4	250	196.071	196.03
3	333.333	196.149	196.071
3	333.333	196.228	196.149
3	333.333	196.306	196.228
5	200	196.31	196.306
2	500	196.425	196.31
4	250	196.466	196.425
3	333.333	196.544	196.466
2	500	196.659	196.544
4	250	196.7	196.659
3	333.333	196.777	196.7
3	333.333	196.855	196.777
